"Sample"	"Group"	"Lake"	"Date"	"Site"	"Depth"	"Fraction"	"Season"	"Origin"
"124"	"MINH.F.714"	"Estuary"	"Muskegon"	"Su14"	"Inlet"	"Bottom"	"Free"	"Summer"	"Water"
"125"	"MINH.F.914"	"Estuary"	"Muskegon"	"Fa14"	"Inlet"	"Bottom"	"Free"	"Fall"	"Water"
"126"	"MINH.P.514"	"Estuary"	"Muskegon"	"Sp14"	"Inlet"	"Bottom"	"Particle"	"Spring"	"Water"
"127"	"MINH.P.714"	"Estuary"	"Muskegon"	"Su14"	"Inlet"	"Bottom"	"Particle"	"Summer"	"Water"
"128"	"MINH.P.914"	"Estuary"	"Muskegon"	"Fa14"	"Inlet"	"Bottom"	"Particle"	"Fall"	"Water"
"129"	"MOT.S.514"	"Estuary"	"Muskegon"	"Sp14"	"Outlet"	"Sediment"	"Sediment"	"Spring"	"Sediment"
"130"	"MOT.S.714"	"Estuary"	"Muskegon"	"Su14"	"Outlet"	"Sediment"	"Sediment"	"Summer"	"Sediment"
"131"	"MOT.S.914"	"Estuary"	"Muskegon"	"Fa14"	"Outlet"	"Sediment"	"Sediment"	"Fall"	"Sediment"
"132"	"MOTE.F.514"	"Estuary"	"Muskegon"	"Sp14"	"Outlet"	"Top"	"Free"	"Spring"	"Water"
"133"	"MOTE.F.714"	"Estuary"	"Muskegon"	"Su14"	"Outlet"	"Top"	"Free"	"Summer"	"Water"
"134"	"MOTE.F.914"	"Estuary"	"Muskegon"	"Fa14"	"Outlet"	"Top"	"Free"	"Fall"	"Water"
"135"	"MOTE.P.714"	"Estuary"	"Muskegon"	"Su14"	"Outlet"	"Top"	"Particle"	"Summer"	"Water"
"136"	"MOTE.P.914"	"Estuary"	"Muskegon"	"Fa14"	"Outlet"	"Top"	"Particle"	"Fall"	"Water"
"137"	"MOTH.F.514"	"Estuary"	"Muskegon"	"Sp14"	"Outlet"	"Bottom"	"Free"	"Spring"	"Water"
"138"	"MOTH.F.714"	"Estuary"	"Muskegon"	"Su14"	"Outlet"	"Bottom"	"Free"	"Summer"	"Water"
"139"	"MOTH.F.914"	"Estuary"	"Muskegon"	"Fa14"	"Outlet"	"Bottom"	"Free"	"Fall"	"Water"
"140"	"MOTH.P.514"	"Estuary"	"Muskegon"	"Sp14"	"Outlet"	"Bottom"	"Particle"	"Spring"	"Water"
"141"	"MOTH.P.714"	"Estuary"	"Muskegon"	"Su14"	"Outlet"	"Bottom"	"Particle"	"Summer"	"Water"
"142"	"MOTH.P.914"	"Estuary"	"Muskegon"	"Fa14"	"Outlet"	"Bottom"	"Particle"	"Fall"	"Water"
"143"	"MBR.S.714"	"Estuary"	"Muskegon"	"Su14"	"Bear"	"Sediment"	"Sediment"	"Summer"	"Sediment"
"144"	"MDPE.P.514"	"Estuary"	"Muskegon"	"Sp14"	"Deep"	"Top"	"Particle"	"Spring"	"Water"
"145"	"MOTE.P.514"	"Estuary"	"Muskegon"	"Sp14"	"Outlet"	"Top"	"Particle"	"Spring"	"Water"
"146"	"Sp12.BD.TB82SN"	"Laurentian"	"Huron"	"Sp12"	"TB82SN"	"Top"	"Free"	"Spring"	"Water"
"147"	"Sp12.BcD.TB10SD"	"Laurentian"	"Huron"	"Sp12"	".TB10S"	"Top"	"cFree"	"Spring"	"Water"
"148"	"Sp12.BcD.TB10SN"	"Laurentian"	"Huron"	"Sp12"	".TB10S"	"Top"	"cFree"	"Spring"	"Water"
"149"	"Su12.BcD.TB18DN"	"Laurentian"	"Huron"	"Su12"	".TB18D"	"Bottom"	"cFree"	"Summer"	"Water"
"150"	"Su12.BcD.TB82SN"	"Laurentian"	"Huron"	"Su12"	".TB82S"	"Top"	"cFree"	"Summer"	"Water"
"151"	"Z14.015.F"	"Inland"	"Heron"	"Su14"	"Bottom"	"Bottom"	"Free"	"Summer"	"Water"
"152"	"Z14.049.F"	"Inland"	"North"	"Fa14"	"Top"	"Top"	"Free"	"Fall"	"Water"
"153"	"Z14.049.P"	"Inland"	"North"	"Fa14"	"Top"	"Top"	"Particle"	"Fall"	"Water"
"154"	"Z14.053.F"	"Inland"	"Bruin"	"Fa14"	"Top"	"Top"	"Free"	"Fall"	"Water"
"155"	"Z14.053.P"	"Inland"	"Bruin"	"Fa14"	"Top"	"Top"	"Particle"	"Fall"	"Water"
"156"	"Z14.055.F"	"Inland"	"Bruin"	"Fa14"	"Bottom"	"Bottom"	"Free"	"Fall"	"Water"
"157"	"Z14.055.P"	"Inland"	"Bruin"	"Fa14"	"Bottom"	"Bottom"	"Particle"	"Fall"	"Water"
"158"	"Z14.057.F"	"Inland"	"Whitmore"	"Fa14"	"Top"	"Top"	"Free"	"Fall"	"Water"
"159"	"Z14.057.P"	"Inland"	"Whitmore"	"Fa14"	"Top"	"Top"	"Particle"	"Fall"	"Water"
"160"	"Z14.059.F"	"Inland"	"Whitmore"	"Fa14"	"Bottom"	"Bottom"	"Free"	"Fall"	"Water"
"161"	"Z14.059.P"	"Inland"	"Whitmore"	"Fa14"	"Bottom"	"Bottom"	"Particle"	"Fall"	"Water"
