Sample,Lake,Season,Date,Year,Fraction,Site,Depth,Time,Volume Filtered (L),Sample Depth (m),Temperature (C),Cond (µS/cm),SpCond (µS/cm),TDS (mg/L),DO Probe (mg/L),pH,ORP (mV),Chl Probe (µg/L),Chl Lab (ug/L),BGA cells/mL,Cl mg/L,SO4 mg/L,NO3 mg/L,NH3 mg/L,TKN mg/L,SRP ug/L,TP ug/L,Alk mg/L,DO probe mg/L,DO probe %,Turb NTU,PP ug/L,TDP ug/L,TDP-SRP,POC mg/L,PON mg/L,DOC mg/L,SiO2 mg/L,TSS mg/L,Fluorescence(mg/m3),PAR,VSS mg/L,Turbidity,NH4 ug/L
MDPH1-P-514,Muskegon,Spring,5/14/14,2014,Particle,Deep,Deep,Day,NA,23.08,11.80,NA,270,175.00,NA,7.70,468.00,NA,0.00,724.00,16.00,11.00,0.62,0.06,0.56,13.20,30.50,121.00,8.78,81.20,3.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPH2-P-514,Muskegon,Spring,5/14/14,2014,Particle,Deep,Deep,Day,NA,23.08,11.80,NA,270,175.00,NA,7.70,468.00,NA,0.00,724.00,16.00,11.00,0.62,0.06,0.56,13.20,30.50,121.00,8.78,81.20,3.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MINE1-P-714,Muskegon,Summer,7/22/14,2014,Particle,Inlet,Surface,Day,1.05,1,24.00,NA,377,245.00,NA,8.00,402.00,NA,8.96,9485.00,21.00,15.00,0.86,0.01,0.73,2.50,22.90,157.00,9.23,109.70,4.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MINE2-P-714,Muskegon,Summer,7/22/14,2014,Particle,Inlet,Surface,Day,1.275,1,24.00,NA,377,245.00,NA,8.00,402.00,NA,8.96,9485.00,21.00,15.00,0.86,0.01,0.73,2.50,22.90,157.00,9.23,109.70,4.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MINH1-P-714,Muskegon,Summer,7/22/14,2014,Particle,Inlet,Deep,Day,0.8,6.62,23.53,NA,380,247.00,NA,7.81,406.00,NA,4.57,3487.00,22.00,15.00,0.87,0.01,0.57,2.50,20.60,162.00,8.00,94.30,3.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MINH2-P-714,Muskegon,Summer,7/22/14,2014,Particle,Inlet,Deep,Day,1.15,6.62,23.53,NA,380,247.00,NA,7.81,406.00,NA,4.57,3487.00,22.00,15.00,0.87,0.01,0.57,2.50,20.60,162.00,8.00,94.30,3.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBRE1-P-714,Muskegon,Summer,7/22/14,2014,Particle,Bear,Surface,Day,1.45,1,23.66,NA,366,238.00,NA,8.08,416.00,NA,2.94,4572.00,23.00,14.00,0.79,0.06,0.89,2.50,19.20,154.00,9.12,107.80,1.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBRE2-P-714,Muskegon,Summer,7/22/14,2014,Particle,Bear,Surface,Day,1.39,1,23.66,NA,366,238.00,NA,8.08,416.00,NA,2.94,4572.00,23.00,14.00,0.79,0.06,0.89,2.50,19.20,154.00,9.12,107.80,1.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBRH1-P-714,Muskegon,Summer,7/22/14,2014,Particle,Bear,Deep,Day,1.2,16.07,11.14,NA,329,214.00,NA,7.36,292.00,NA,0.00,924.00,18.00,20.00,0.89,0.11,0.42,2.50,18.60,123.00,7.33,66.70,2.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBRH2-P-714,Muskegon,Summer,7/22/14,2014,Particle,Bear,Deep,Day,1.89,16.07,11.14,NA,329,214.00,NA,7.36,292.00,NA,0.00,924.00,18.00,20.00,0.89,0.11,0.42,2.50,18.60,123.00,7.33,66.70,2.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOTE1-P-714,Muskegon,Summer,7/22/14,2014,Particle,Outlet,Surface,Day,1.54,1,23.37,NA,366,238.00,NA,8.06,370.00,NA,2.88,6193.00,23.00,14.00,0.73,0.01,0.52,2.50,19.20,150.00,9.12,107.10,1.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOTE2-P-714,Muskegon,Summer,7/22/14,2014,Particle,Outlet,Surface,Day,1.725,1,23.37,NA,366,238.00,NA,8.06,370.00,NA,2.88,6193.00,23.00,14.00,0.73,0.01,0.52,2.50,19.20,150.00,9.12,107.10,1.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOTH1-P-714,Muskegon,Summer,7/22/14,2014,Particle,Outlet,Deep,Day,2.04,8.75,21.86,NA,368,240.00,NA,7.55,380.00,NA,0.00,1110.00,22.00,13.00,0.15,0.02,0.61,2.50,18.60,146.00,5.56,63.50,1.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOTH2-P-714,Muskegon,Summer,7/22/14,2014,Particle,Outlet,Deep,Day,1.94,8.75,21.86,NA,368,240.00,NA,7.55,380.00,NA,0.00,1110.00,22.00,13.00,0.15,0.02,0.61,2.50,18.60,146.00,5.56,63.50,1.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPE1-P-714,Muskegon,Summer,7/22/14,2014,Particle,Deep,Surface,Day,1.11,1,23.35,NA,370,241.00,NA,7.99,388.00,NA,2.99,94921.00,22.00,14.00,0.78,0.01,0.65,2.50,17.80,148.00,8.68,102.00,1.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPE2-P-714,Muskegon,Summer,7/22/14,2014,Particle,Deep,Surface,Day,1.53,1,23.35,NA,370,241.00,NA,7.99,388.00,NA,2.99,94921.00,22.00,14.00,0.78,0.01,0.65,2.50,17.80,148.00,8.68,102.00,1.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPH1-P-714,Muskegon,Summer,7/22/14,2014,Particle,Deep,Deep,Day,1.8,22.77,12.48,NA,329,214.00,NA,7.33,415.00,NA,0.81,429.00,19.00,19.00,0.92,0.02,0.47,7.50,23.60,124.00,7.83,73.60,1.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPH2-P-714,Muskegon,Summer,7/22/14,2014,Particle,Deep,Deep,Day,1.95,22.77,12.48,NA,329,214.00,NA,7.33,415.00,NA,0.81,429.00,19.00,19.00,0.92,0.02,0.47,7.50,23.60,124.00,7.83,73.60,1.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MINE1-P-914,Muskegon,Fall,9/24/14,2014,Particle,Inlet,Surface,Day,1,1,17.98,NA,427,278.00,NA,8.17,391.00,NA,2.45,3032.00,26.00,20.00,0.95,0.01,0.12,2.50,22.20,155.00,9.42,99.60,6.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
