Sample,Lake,Season,Date,Year,Fraction,Site,Depth,Time,Volume Filtered (L),Sample Depth (m),Chl Lab (ug/L),NO3 mg/L,SRP ug/L,TP ug/L,TDP ug/L,NH4 ug/L,,
Z14-049-F,North,Fall,10/13/14,2015,Free,Epi,Surface,Day,1.6,2,13.88,0.164,1.47,20.32,4.31,4.78,,
Z14-050-P,North,Fall,10/13/14,2014,Particle,Epi,Surface,Day,1.6,2,13.73,0.165,0.13,18.23,4.1,6.9,,
Z14-050-F,North,Fall,10/13/14,2015,Free,Epi,Surface,Day,1.6,2,13.73,0.165,0.13,18.23,4.1,6.9,,
Z14-051-P,North,Fall,10/13/14,2014,Particle,Hypo,Deep,Day,1,13,4.84,0.165,0.65,55.38,4.04,1373.54,,
Z14-051-F,North,Fall,10/13/14,2014,Free,Hypo,Deep,Day,1,13,4.84,0.165,0.65,55.38,4.04,1373.54,,
Z14-052-P,North,Fall,10/13/14,2014,Particle,Hypo,Deep,Day,1,13,5.36,0.164,0,37.97,4.36,986.07,,
Z14-052-F,North,Fall,10/13/14,2014,Free,Hypo,Deep,Day,1,13,5.36,0.164,0,37.97,4.36,986.07,,
Z14-053-P,Bruin,Fall,10/13/14,2014,Particle,Epi,Surface,Day,NA,2,2.32,0.167,19.5,9.81,2.17,57.17,,
Z14-053-F,Bruin,Fall,10/13/14,2014,Free,Epi,Surface,Day,NA,2,2.32,0.167,19.5,9.81,2.17,57.17,,
Z14-054-P,Bruin,Fall,10/13/14,2014,Particle,Epi,Surface,Day,NA,2,2.32,0.165,0,6.94,1.79,60.01,,
Z14-054-F,Bruin,Fall,10/13/14,2014,Free,Epi,Surface,Day,NA,2,2.32,0.165,0,6.94,1.79,60.01,,
Z14-055-P,Bruin,Fall,10/13/14,2014,Particle,Hypo,Deep,Day,NA,12,5.45,0.167,26.09,18.96,2.43,807.64,,
Z14-055-F,Bruin,Fall,10/13/14,2014,Free,Hypo,Deep,Day,NA,12,5.45,0.167,26.09,18.96,2.43,807.64,,
Z14-056-P,Bruin,Fall,10/13/14,2014,Particle,Hypo,Deep,Day,NA,12,5.31,0.164,0.65,19.07,3.16,923.07,,
Z14-056-F,Bruin,Fall,10/13/14,2014,Free,Hypo,Deep,Day,NA,12,5.31,0.164,0.65,19.07,3.16,923.07,,
Z14-057-P,Whitmore,Fall,10/15/14,2014,Particle,Epi,Surface,Day,1.4,2,2.67,0.165,0.3,18.82,2.57,19.9,,
Z14-057-F,Whitmore,Fall,10/15/14,2014,Free,Epi,Surface,Day,1.4,2,2.67,0.165,0.3,18.82,2.57,19.9,,
Z14-058-P,Whitmore,Fall,10/15/14,2014,Particle,Epi,Surface,Day,1.5,2,2.65,0.165,0.07,11.99,2.42,18.82,,
Z14-058-F,Whitmore,Fall,10/15/14,2014,Free,Epi,Surface,Day,1.5,2,2.65,0.165,0.07,11.99,2.42,18.82,,
Z14-059-P,Whitmore,Fall,10/15/14,2014,Particle,Hypo,Deep,Day,1.8,13,1.31,0.164,0,11.25,3.57,77.69,,
Z14-059-F,Whitmore,Fall,10/15/14,2014,Free,Hypo,Deep,Day,1.8,13,1.31,0.164,0,11.25,3.57,77.69,,
Z14-061-P,Independence,Fall,10/15/14,2014,Particle,Epi,Surface,Day,1.75,2,3.11,0.165,0,9.17,2.79,41.59,,
Z14-061-F,Independence,Fall,10/15/14,2014,Free,Epi,Surface,Day,1.75,2,3.11,0.165,0,9.17,2.79,41.59,,
Z14-062-P,Independence,Fall,10/15/14,2014,Particle,Epi,Surface,Day,2,2,2.84,0.165,0,10.39,3.43,67.38,,
Z14-062-F,Independence,Fall,10/15/14,2014,Free,Epi,Surface,Day,2,2,2.84,0.165,0,10.39,3.43,67.38,,
Z14-063-P,Independence,Fall,10/15/14,2014,Particle,Hypo,Deep,Day,2,7,1.73,0.165,0,7.45,2.81,77.87,,
Z14-063-F,Independence,Fall,10/15/14,2014,Free,Hypo,Deep,Day,2,7,1.73,0.165,0,7.45,2.81,77.87,,
Z14-064-P,Independence,Fall,10/15/14,2014,Particle,Hypo,Deep,Day,1.75,7,1.61,0.167,28.12,8.69,2.87,8.65,,
Z14-064-F,Independence,Fall,10/15/14,2014,Free,Hypo,Deep,Day,1.75,7,1.61,0.167,28.12,8.69,2.87,8.65,,
Z15-065-P,North,Spring,4/22/15,2015,Particle,Epi,Surface,Day,1.32,2,11.49,0.034,0,15.53,3.42,10.41,,
Z15-065-F,North,Spring,4/22/15,2015,Free,Epi,Surface,Day,1.32,2,11.49,0.034,0,15.53,3.42,10.41,,
Z15-066-P,North,Spring,4/22/15,2015,Particle,Hypo,Surface,Day,1.32,2,11.77,0.035,0.08,21.76,5.93,9.65,,
Z15-066-F,North,Spring,4/22/15,2015,Free,Hypo,Surface,Day,1.32,2,11.77,0.035,0.08,21.76,5.93,9.65,,
Z15-067-P,North,Spring,4/22/15,2015,Particle,Hypo,Deep,Day,1.21,13,11.31,0.032,0.13,16.75,4.1,9.38,,
Z15-067-F,North,Spring,4/22/15,2015,Free,Hypo,Deep,Day,1.21,13,11.31,0.032,0.13,16.75,4.1,9.38,,
Z15-068-P,Bruin,Spring,4/22/15,2015,Particle,Epi,Deep,Day,1.23,12,12.09,0.033,0.14,20.26,2.56,8.69,,
Z15-068-F,Bruin,Spring,4/22/15,2015,Free,Epi,Deep,Day,1.23,12,12.09,0.033,0.14,20.26,2.56,8.69,,
Z15-069-P,Bruin,Spring,4/22/15,2015,Particle,Epi,Surface,Day,1.55,2,2.42,0.086,2.07,7.73,3.54,73.11,,
Z15-069-F,Bruin,Spring,4/22/15,2015,Free,Epi,Surface,Day,1.55,2,2.42,0.086,2.07,7.73,3.54,73.11,,
Z15-070-P,Bruin,Spring,4/22/15,2015,Particle,Hypo,Surface,Day,1.62,2,2.5,0.079,1.73,10.28,3.1,71.89,,
Z15-070-F,Bruin,Spring,4/22/15,2015,Free,Hypo,Surface,Day,1.62,2,2.5,0.079,1.73,10.28,3.1,71.89,,
Z15-071-P,Bruin,Spring,4/22/15,2015,Particle,Hypo,Deep,Day,1.81,11,3.46,0.109,1.81,9.6,3.57,145.07,,
Z15-071-F,Bruin,Spring,4/22/15,2015,Free,Hypo,Deep,Day,1.81,11,3.46,0.109,1.81,9.6,3.57,145.07,,
Z15-072-P,North,Spring,4/22/15,2015,Particle,Epi,Deep,Day,1.71,11,3.57,0.103,2.44,8.91,3.96,130.39,,
Z15-072-F,North,Spring,4/22/15,2015,Free,Epi,Deep,Day,1.71,11,3.57,0.103,2.44,8.91,3.96,130.39,,
Z15-073-P,Whitmore,Spring,4/23/15,2015,Particle,Epi,Surface,Day,1.45,2,2.9,0.071,0.14,11.44,3.24,45.84,,
Z15-073-F,Whitmore,Spring,4/23/15,2015,Free,Epi,Surface,Day,1.45,2,2.9,0.071,0.14,11.44,3.24,45.84,,
Z15-074-P,Whitmore,Spring,4/23/15,2015,Particle,Epi,Surface,Day,1.48,2,2.87,0.07,0.04,11.72,3.47,47.04,,
Z15-074-F,Whitmore,Spring,4/23/15,2015,Free,Epi,Surface,Day,1.48,2,2.87,0.07,0.04,11.72,3.47,47.04,,
Z15-075-P,Whitmore,Spring,4/23/15,2015,Particle,Hypo,Deep,Day,1.5,18,3.09,0.073,0.12,20.93,3.41,66.08,,
Z15-075-F,Whitmore,Spring,4/23/15,2015,Free,Hypo,Deep,Day,1.5,18,3.09,0.073,0.12,20.93,3.41,66.08,,
Z15-076-P,Whitmore,Spring,4/23/15,2015,Particle,Hypo,Deep,Day,1.4,18,2.73,0.069,0,17.34,3.12,61.08,,
Z15-076-F,Whitmore,Spring,4/23/15,2015,Free,Hypo,Deep,Day,1.4,18,2.73,0.069,0,17.34,3.12,61.08,,
Z15-077-P,Independence,Spring,4/23/15,2015,Particle,Epi,Surface,Day,1.78,2,1.76,0,2.9,10.94,4.7,10.03,,
Z15-077-F,Independence,Spring,4/23/15,2015,Free,Epi,Surface,Day,1.78,2,1.76,0,2.9,10.94,4.7,10.03,,
Z15-078-P,Independence,Spring,4/23/15,2015,Particle,Epi,Surface,Day,1.74,2,1.78,0,2.44,15.66,4.73,9.19,,
Z15-078-F,Independence,Spring,4/23/15,2015,Free,Epi,Surface,Day,1.74,2,1.78,0,2.44,15.66,4.73,9.19,,
Z15-079-P,Independence,Spring,4/23/15,2015,Particle,Hypo,Deep,Day,1.68,7,1.93,0,2.87,10.34,5.08,8.95,,
Z15-079-F,Independence,Spring,4/23/15,2015,Free,Hypo,Deep,Day,1.68,7,1.93,0,2.87,10.34,5.08,8.95,,
Z15-080-P,Independence,Spring,4/23/15,2015,Particle,Hypo,Deep,Day,1.67,7,1.86,0,2.98,11.44,5.03,9.83,,
Z15-080-F,Independence,Spring,4/23/15,2015,Free,Hypo,Deep,Day,1.67,7,1.86,0,2.98,11.44,5.03,9.83,,
